date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:29	44749/44749	---M-Z	200	added ('OK')	application/javascript	etag:%22aecd-548f25b8ff5c0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/bootstrap.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/bootstrap.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:32	8487/8487	---M-Z	200	added ('OK')	application/javascript	etag:%222127-548f25cc122c0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/scrollreveal.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/scrollreveal.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:34	2375/2375	---M-Z	200	added ('OK')	application/javascript	etag:%22947-55c71a0d61dc0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/contact-form.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/contact-form.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:36	105104/105104	---M--	200	added ('OK')	image/jpeg	etag:%2219a90-548f23fba1b00%22	http://egotype.design/work/web/html/kounter/images/about-image-8.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/about-image-8.jpg	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:36	1933/1933	---M-Z	200	added ('OK')	application/javascript	etag:%2278d-55e435b788c80-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/newsletter-form.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/newsletter-form.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:39	3409/3409	---M-Z	200	added ('OK')	application/javascript	etag:%22d51-548f25bccfec0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/jquery.ajaxchimp.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/jquery.ajaxchimp.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:41	327599/327599	---M--	200	added ('OK')	image/jpeg	etag:%224ffaf-548f23f124240%22	http://egotype.design/work/web/html/kounter/images/about-image-7-lg.jpg	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/images/about-image-7-lg.jpg	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:43	31726/31726	---M-Z	200	added ('OK')	application/javascript	etag:%227bee-548f25d878000-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:43	9876/9876	---M-Z	200	added ('OK')	application/javascript	etag:%222694-548f25d59b940-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe-ui-default.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/photoswipe/photoswipe-ui-default.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:43	5629/5629	---M-Z	200	added ('OK')	application/javascript	etag:%2215fd-548f25bdc4100-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/jquery.countdown.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/jquery.countdown.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:47	20208/20208	---M-Z	200	added ('OK')	application/javascript	etag:%224ef0-548f25bae7a40-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/fss.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/fss.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:49	33576/33576	---M-Z	200	added ('OK')	application/javascript	etag:%228328-548f25bccfec0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/fss-animate.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/fss-animate.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:49	8841/8841	---M-Z	200	added ('OK')	application/javascript	etag:%222289-548f25c8419c0-gzip%22	http://egotype.design/work/web/html/kounter/js/plugins/prefixfree.min.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/plugins/prefixfree.min.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:53	38769/38769	---M-Z	200	added ('OK')	application/javascript	etag:%229771-55c711327f980-gzip%22	http://egotype.design/work/web/html/kounter/js/custom.js	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/js/custom.js	(from http://egotype.design/work/web/html/kounter/index-fss.html)
14:15:53	326/326	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2006%20May%202018%2008:45:51%20GMT	http://egotype.design/work/web/html/kounter/css/fonts/glyphicons-halflings-regular.eot	/Users/osheenchavhan/websites/infispark.io/egotype.design/work/web/html/kounter/css/fonts/glyphicons-halflings-regular.eot	(from http://egotype.design/work/web/html/kounter/css/plugins/bootstrap.min.css)
